year,age,sex,imd_quintile,p_start_1month
2011,12,2,1,0.005002057718935582
2011,12,2,2,0.004849447581899313
2011,12,2,3,0.006121045824670657
2011,12,2,4,0.006790473644265771
2011,12,2,5,0.008262395105840481
2011,12,1,1,0.006323175448783025
2011,12,1,2,0.00599272041279697
2011,12,1,3,0.006563263104269024
2011,12,1,4,0.007050737486286707
2011,12,1,5,0.008872065514347938
2011,13,2,1,0.004981742355965713
2011,13,2,2,0.004852181555487611
2011,13,2,3,0.006154610831691443
2011,13,2,4,0.006663028143411354
2011,13,2,5,0.007969266167852429
2011,13,1,1,0.006612130772182145
2011,13,1,2,0.006305390945290368
2011,13,1,3,0.007086774974492949
2011,13,1,4,0.007294282247921391
2011,13,1,5,0.009099367154398741
2011,14,2,1,0.004693438182958087
2011,14,2,2,0.0047390773084740045
2011,14,2,3,0.00598993785860924
2011,14,2,4,0.006228521493116923
2011,14,2,5,0.007151710318593407
2011,14,1,1,0.00690989618613691
2011,14,1,2,0.006644117469522759
2011,14,1,3,0.007717847983814918
2011,14,1,4,0.007535411151188387
2011,14,1,5,0.009567786893672658
2011,15,2,1,0.004102731102263446
2011,15,2,2,0.004166232352070476
2011,15,2,3,0.005195085525019683
2011,15,2,4,0.005211268779316103
2011,15,2,5,0.00582274608218003
2011,15,1,1,0.006381099663443912
2011,15,1,2,0.0062691249821337225
2011,15,1,3,0.007433932700283585
2011,15,1,4,0.007078678150137074
2011,15,1,5,0.008912646647688427
2011,16,2,1,0.0032338288244058155
2011,16,2,2,0.003344613769219018
2011,16,2,3,0.004059463632991145
2011,16,2,4,0.0038542827033672955
2011,16,2,5,0.004237313227972828
2011,16,1,1,0.005341028546282933
2011,16,1,2,0.005552262721195578
2011,16,1,3,0.006428134224584214
2011,16,1,4,0.006123431171282112
2011,16,1,5,0.007715131330312097
2011,17,2,1,0.0025082200710346836
2011,17,2,2,0.0025015036857087836
2011,17,2,3,0.0029687945139734717
2011,17,2,4,0.0025958519539487357
2011,17,2,5,0.0028556556520293874
2011,17,1,1,0.004119571488311102
2011,17,1,2,0.004363356896218251
2011,17,1,3,0.004964124800712177
2011,17,1,4,0.004920829629359136
2011,17,1,5,0.005892674010861132
2011,18,2,1,0.0018847260383836328
2011,18,2,2,0.0018796579289035442
2011,18,2,3,0.0020896338159569483
2011,18,2,4,0.001646731881547403
2011,18,2,5,0.0017972173139348957
2011,18,1,1,0.0031130287546292656
2011,18,1,2,0.0032931881065054736
2011,18,1,3,0.0035538319332092394
2011,18,1,4,0.0037763956603953375
2011,18,1,5,0.004391810320426903
2011,19,2,1,0.0014411089716106495
2011,19,2,2,0.0013629016543773576
2011,19,2,3,0.001479593358471032
2011,19,2,4,0.0011395716537933032
2011,19,2,5,0.0011589448519299106
2011,19,1,1,0.0022224453101382657
2011,19,1,2,0.002283257128666172
2011,19,1,3,0.002342917084731999
2011,19,1,4,0.0027056060349919253
2011,19,1,5,0.0030280574035306262
2011,20,2,1,0.0010398128076839486
2011,20,2,2,0.0009617795506015048
2011,20,2,3,0.0010482524077382038
2011,20,2,4,0.0008265669043296953
2011,20,2,5,0.0008010152511872537
2011,20,1,1,0.001554155553494363
2011,20,1,2,0.0017650445919292768
2011,20,1,3,0.0017147620674996533
2011,20,1,4,0.0019661714511566286
2011,20,1,5,0.0021728543350986174
2011,21,2,1,0.0008438970455300066
2011,21,2,2,0.0007441842423938638
2011,21,2,3,0.0008638435338447215
2011,21,2,4,0.0006801218825860378
2011,21,2,5,0.0006342269971112424
2011,21,1,1,0.001185767573514629
2011,21,1,2,0.0014627713026258427
2011,21,1,3,0.0014134665798827273
2011,21,1,4,0.0015520651010534348
2011,21,1,5,0.0016869606119944702
2011,22,2,1,0.0008438970455300066
2011,22,2,2,0.0007441842423938638
2011,22,2,3,0.0008638435338447215
2011,22,2,4,0.0006801218825860378
2011,22,2,5,0.0006342269971112424
2011,22,1,1,0.001185767573514629
2011,22,1,2,0.0014627713026258427
2011,22,1,3,0.0014134665798827273
2011,22,1,4,0.0015520651010534348
2011,22,1,5,0.0016869606119944702
2011,23,2,1,0.0008438970455300066
2011,23,2,2,0.0007441842423938638
2011,23,2,3,0.0008638435338447215
2011,23,2,4,0.0006801218825860378
2011,23,2,5,0.0006342269971112424
2011,23,1,1,0.001185767573514629
2011,23,1,2,0.0014627713026258427
2011,23,1,3,0.0014134665798827273
2011,23,1,4,0.0015520651010534348
2011,23,1,5,0.0016869606119944702
2011,24,2,1,0.0008438970455300066
2011,24,2,2,0.0007441842423938638
2011,24,2,3,0.0008638435338447215
2011,24,2,4,0.0006801218825860378
2011,24,2,5,0.0006342269971112424
2011,24,1,1,0.001185767573514629
2011,24,1,2,0.0014627713026258427
2011,24,1,3,0.0014134665798827273
2011,24,1,4,0.0015520651010534348
2011,24,1,5,0.0016869606119944702
2011,25,2,1,0.0008438970455300066
2011,25,2,2,0.0007441842423938638
2011,25,2,3,0.0008638435338447215
2011,25,2,4,0.0006801218825860378
2011,25,2,5,0.0006342269971112424
2011,25,1,1,0.001185767573514629
2011,25,1,2,0.0014627713026258427
2011,25,1,3,0.0014134665798827273
2011,25,1,4,0.0015520651010534348
2011,25,1,5,0.0016869606119944702
2011,26,2,1,0.0008438970455300066
2011,26,2,2,0.0007441842423938638
2011,26,2,3,0.0008638435338447215
2011,26,2,4,0.0006801218825860378
2011,26,2,5,0.0006342269971112424
2011,26,1,1,0.001185767573514629
2011,26,1,2,0.0014627713026258427
2011,26,1,3,0.0014134665798827273
2011,26,1,4,0.0015520651010534348
2011,26,1,5,0.0016869606119944702
2011,27,2,1,0.0008438970455300066
2011,27,2,2,0.0007441842423938638
2011,27,2,3,0.0008638435338447215
2011,27,2,4,0.0006801218825860378
2011,27,2,5,0.0006342269971112424
2011,27,1,1,0.001185767573514629
2011,27,1,2,0.0014627713026258427
2011,27,1,3,0.0014134665798827273
2011,27,1,4,0.0015520651010534348
2011,27,1,5,0.0016869606119944702
2011,28,2,1,0.0008438970455300066
2011,28,2,2,0.0007441842423938638
2011,28,2,3,0.0008638435338447215
2011,28,2,4,0.0006801218825860378
2011,28,2,5,0.0006342269971112424
2011,28,1,1,0.001185767573514629
2011,28,1,2,0.0014627713026258427
2011,28,1,3,0.0014134665798827273
2011,28,1,4,0.0015520651010534348
2011,28,1,5,0.0016869606119944702
2011,29,2,1,0.0008438970455300066
2011,29,2,2,0.0007441842423938638
2011,29,2,3,0.0008638435338447215
2011,29,2,4,0.0006801218825860378
2011,29,2,5,0.0006342269971112424
2011,29,1,1,0.001185767573514629
2011,29,1,2,0.0014627713026258427
2011,29,1,3,0.0014134665798827273
2011,29,1,4,0.0015520651010534348
2011,29,1,5,0.0016869606119944702
2011,30,2,1,0.0008438970455300066
2011,30,2,2,0.0007441842423938638
2011,30,2,3,0.0008638435338447215
2011,30,2,4,0.0006801218825860378
2011,30,2,5,0.0006342269971112424
2011,30,1,1,0.001185767573514629
2011,30,1,2,0.0014627713026258427
2011,30,1,3,0.0014134665798827273
2011,30,1,4,0.0015520651010534348
2011,30,1,5,0.0016869606119944702
2012,12,2,1,0.00494368453823979
2012,12,2,2,0.004776983110985622
2012,12,2,3,0.006023514723862089
2012,12,2,4,0.006711871274163728
2012,12,2,5,0.008207641794335419
2012,12,1,1,0.006287526281128497
2012,12,1,2,0.005956154024228777
2012,12,1,3,0.0064960756711672785
2012,12,1,4,0.0070136702548281304
2012,12,1,5,0.008881217308195688
2012,13,2,1,0.004923696686548795
2012,13,2,2,0.004777705543351107
2012,13,2,3,0.006051461432408756
2012,13,2,4,0.0065857138206152355
2012,13,2,5,0.007918178344547666
2012,13,1,1,0.006571956745440977
2012,13,1,2,0.006262252696989656
2012,13,1,3,0.0070010712574392064
2012,13,1,4,0.00725552143707775
2012,13,1,5,0.00910926095362441
2012,14,2,1,0.004640207586983358
2012,14,2,2,0.004662759895440627
2012,14,2,3,0.005883572509319257
2012,14,2,4,0.006149613110696617
2012,14,2,5,0.007107660872434196
2012,14,1,1,0.006866078142371723
2012,14,1,2,0.006588578677761525
2012,14,1,3,0.00761104223096587
2012,14,1,4,0.007491432790809105
2012,14,1,5,0.00956806490791795
2012,15,2,1,0.0040519029101374615
2012,15,2,2,0.00409326770186258
2012,15,2,3,0.005093692812563555
2012,15,2,4,0.005140450411134756
2012,15,2,5,0.005789702540542563
2012,15,1,1,0.006344513770766502
2012,15,1,2,0.006206463506164717
2012,15,1,3,0.00731227621304209
2012,15,1,4,0.007032408999798734
2012,15,1,5,0.008911345099032242
2012,16,2,1,0.0031838107738468846
2012,16,2,2,0.0032718531787684357
2012,16,2,3,0.003968827385303353
2012,16,2,4,0.003793394270612538
2012,16,2,5,0.004211042866030912
2012,16,1,1,0.00530340120596795
2012,16,1,2,0.005473532705345674
2012,16,1,3,0.0063071262685784335
2012,16,1,4,0.0060757696731010835
2012,16,1,5,0.007694937413438185
2012,17,2,1,0.00245383028131807
2012,17,2,2,0.0024234745058802076
2012,17,2,3,0.0028878819534223776
2012,17,2,4,0.0025497226574305865
2012,17,2,5,0.0028308158708547637
2012,17,1,1,0.004073423067800674
2012,17,1,2,0.004280615767386142
2012,17,1,3,0.004853053611409641
2012,17,1,4,0.004868669421230765
2012,17,1,5,0.005864138266504559
2012,18,2,1,0.001821747813419261
2012,18,2,2,0.0017979265909540132
2012,18,2,3,0.0020138347835075843
2012,18,2,4,0.0016099648189082938
2012,18,2,5,0.0017728220476631584
2012,18,1,1,0.003050697580927686
2012,18,1,2,0.003208803807153715
2012,18,1,3,0.0034599449730674525
2012,18,1,4,0.003720886989339589
2012,18,1,5,0.00433866644419012
2012,19,2,1,0.0013769152280319608
2012,19,2,2,0.001288942937708426
2012,19,2,3,0.0014083668218897172
2012,19,2,4,0.0011120123081110878
2012,19,2,5,0.00113533798011356
2012,19,1,1,0.002162288937726964
2012,19,1,2,0.00221639723807876
2012,19,1,3,0.002265670655763885
2012,19,1,4,0.0026517332329532017
2012,19,1,5,0.0029704301816440015
2012,20,2,1,0.0009720342391996706
2012,20,2,2,0.0009038064782989075
2012,20,2,3,0.000979171180708338
2012,20,2,4,0.0007998249389303824
2012,20,2,5,0.0007814455669713505
2012,20,1,1,0.0015050300771616287
2012,20,1,2,0.0016995575420141185
2012,20,1,3,0.0016472236370287385
2012,20,1,4,0.0019173344096097278
2012,20,1,5,0.0021040325239116697
2012,21,2,1,0.0007803170633798873
2012,21,2,2,0.0006956997641359708
2012,21,2,3,0.0007979001496032367
2012,21,2,4,0.0006555289665385322
2012,21,2,5,0.000616396553658749
2012,21,1,1,0.0011464331797454985
2012,21,1,2,0.0014025125382226555
2012,21,1,3,0.001347488327020696
2012,21,1,4,0.0015069573843331519
2012,21,1,5,0.0016200823451428814
2012,22,2,1,0.0007803170633798873
2012,22,2,2,0.0006956997641359708
2012,22,2,3,0.0007979001496032367
2012,22,2,4,0.0006555289665385322
2012,22,2,5,0.000616396553658749
2012,22,1,1,0.0011464331797454985
2012,22,1,2,0.0014025125382226555
2012,22,1,3,0.001347488327020696
2012,22,1,4,0.0015069573843331519
2012,22,1,5,0.0016200823451428814
2012,23,2,1,0.0007803170633798873
2012,23,2,2,0.0006956997641359708
2012,23,2,3,0.0007979001496032367
2012,23,2,4,0.0006555289665385322
2012,23,2,5,0.000616396553658749
2012,23,1,1,0.0011464331797454985
2012,23,1,2,0.0014025125382226555
2012,23,1,3,0.001347488327020696
2012,23,1,4,0.0015069573843331519
2012,23,1,5,0.0016200823451428814
2012,24,2,1,0.0007803170633798873
2012,24,2,2,0.0006956997641359708
2012,24,2,3,0.0007979001496032367
2012,24,2,4,0.0006555289665385322
2012,24,2,5,0.000616396553658749
2012,24,1,1,0.0011464331797454985
2012,24,1,2,0.0014025125382226555
2012,24,1,3,0.001347488327020696
2012,24,1,4,0.0015069573843331519
2012,24,1,5,0.0016200823451428814
2012,25,2,1,0.0007803170633798873
2012,25,2,2,0.0006956997641359708
2012,25,2,3,0.0007979001496032367
2012,25,2,4,0.0006555289665385322
2012,25,2,5,0.000616396553658749
2012,25,1,1,0.0011464331797454985
2012,25,1,2,0.0014025125382226555
2012,25,1,3,0.001347488327020696
2012,25,1,4,0.0015069573843331519
2012,25,1,5,0.0016200823451428814
2012,26,2,1,0.0007803170633798873
2012,26,2,2,0.0006956997641359708
2012,26,2,3,0.0007979001496032367
2012,26,2,4,0.0006555289665385322
2012,26,2,5,0.000616396553658749
2012,26,1,1,0.0011464331797454985
2012,26,1,2,0.0014025125382226555
2012,26,1,3,0.001347488327020696
2012,26,1,4,0.0015069573843331519
2012,26,1,5,0.0016200823451428814
2012,27,2,1,0.0007803170633798873
2012,27,2,2,0.0006956997641359708
