year,age,sex,imd_quintile,p_quit_1month
2011,12,2,1,0.3166289770362045
2011,12,2,2,0.16412519368383482
2011,12,2,3,0.2147727155450665
2011,12,2,4,0.15586591879059664
2011,12,2,5,0.14315954717158008
2011,12,1,1,0.2942479727100401
2011,12,1,2,0.17627967226816543
2011,12,1,3,0.12730309414959562
2011,12,1,4,0.14520631706149134
2011,12,1,5,0.1557732919838869
2011,13,2,1,0.18583415034547301
2011,13,2,2,0.12181402988246437
2011,13,2,3,0.13766065032996866
2011,13,2,4,0.10929438261620983
2011,13,2,5,0.09931651539872821
2011,13,1,1,0.19333065843532116
2011,13,1,2,0.1290294464554005
2011,13,1,3,0.10180086220249285
2011,13,1,4,0.10796708585076198
2011,13,1,5,0.11740587054069074
2011,14,2,1,0.13558030091241857
2011,14,2,2,0.0943753838859942
2011,14,2,3,0.10346690678932935
2011,14,2,4,0.08429690481487861
2011,14,2,5,0.07516710947356597
2011,14,1,1,0.13643696592204424
2011,14,1,2,0.10090667000345421
2011,14,1,3,0.0822652227483135
2011,14,1,4,0.08509447326571329
2011,14,1,5,0.09107107609607512
2011,15,2,1,0.09201201276560667
2011,15,2,2,0.06256745056444601
2011,15,2,3,0.06845885169611832
2011,15,2,4,0.05347654015748393
2011,15,2,5,0.04491917219241992
2011,15,1,1,0.09170263896431907
2011,15,1,2,0.06886483387761289
2011,15,1,3,0.05687434160849436
2011,15,1,4,0.057134719113688504
2011,15,1,5,0.05980427278574196
2011,16,2,1,0.06123689104248309
2011,16,2,2,0.040770228398407826
2011,16,2,3,0.043278986988158685
2011,16,2,4,0.031594503777106486
2011,16,2,5,0.02449650936287806
2011,16,1,1,0.06015900049442735
2011,16,1,2,0.04266268230558001
2011,16,1,3,0.03608001883219136
2011,16,1,4,0.03628614959756615
2011,16,1,5,0.03601672132285105
2011,17,2,1,0.03977338782151518
2011,17,2,2,0.02660077206251288
2011,17,2,3,0.02661231786456353
2011,17,2,4,0.018317683312924937
2011,17,2,5,0.01258728660143471
2011,17,1,1,0.03801563724020918
2011,17,1,2,0.026124240957435596
2011,17,1,3,0.021761682057417242
2011,17,1,4,0.022324499473432402
2011,17,1,5,0.02114404043154372
2011,18,2,1,0.026561921742380368
2011,18,2,2,0.017569936492360383
2011,18,2,3,0.01705877132458622
2011,18,2,4,0.011159645790165373
2011,18,2,5,0.006377518563329354
2011,18,1,1,0.023454515089767147
2011,18,1,2,0.015988044361956222
2011,18,1,3,0.012702059262284293
2011,18,1,4,0.013564724956544372
2011,18,1,5,0.011112307129578447
2011,19,2,1,0.01882261596161261
2011,19,2,2,0.012953373979955551
2011,19,2,3,0.012023805475155691
2011,19,2,4,0.007227178830032321
2011,19,2,5,0.0033879130351703868
2011,19,1,1,0.015689314268279575
2011,19,1,2,0.009812760055354586
2011,19,1,3,0.007593537827505936
2011,19,1,4,0.008516565657190278
2011,19,1,5,0.0057830341918500006
2011,20,2,1,0.014915078649712421
2011,20,2,2,0.010618209318758787
2011,20,2,3,0.009707630307112192
2011,20,2,4,0.00591835733497259
2011,20,2,5,0.0025094077271785586
2011,20,1,1,0.011689153114438744
2011,20,1,2,0.00607594637008102
2011,20,1,3,0.005045549982693465
2011,20,1,4,0.005845118735328225
2011,20,1,5,0.003000929315642331
2011,21,2,1,0.012698322927626293
2011,21,2,2,0.00920202035172446
2011,21,2,3,0.008735228295858932
2011,21,2,4,0.005714364524679105
2011,21,2,5,0.0024583193274377857
2011,21,1,1,0.009602072053663369
2011,21,1,2,0.004904608144764122
2011,21,1,3,0.004283144216313484
2011,21,1,4,0.004747617552421257
2011,21,1,5,0.0020940947417530387
2011,22,2,1,0.01133416998332637
2011,22,2,2,0.008391811724111187
2011,22,2,3,0.008241396141140833
2011,22,2,4,0.005846957004056796
2011,22,2,5,0.0026364820566905367
2011,22,1,1,0.008496901635789533
2011,22,1,2,0.004394357675276628
2011,22,1,3,0.004142253836064147
2011,22,1,4,0.0044198001658021235
2011,22,1,5,0.0018536283084369387
2011,23,2,1,0.010831706001422692
2011,23,2,2,0.008281244728374992
2011,23,2,3,0.008001143229078078
2011,23,2,4,0.005978911949879873
2011,23,2,5,0.003066087424082986
2011,23,1,1,0.00829380327742546
2011,23,1,2,0.004471054679216491
2011,23,1,3,0.004483035152873183
2011,23,1,4,0.004649830900178675
2011,23,1,5,0.0021355912165715862
2011,24,2,1,0.010729132934874763
2011,24,2,2,0.008250214842962178
2011,24,2,3,0.007796497997410334
2011,24,2,4,0.006175709123836026
2011,24,2,5,0.0033932258552223926
2011,24,1,1,0.008347182751177407
2011,24,1,2,0.004855008213904943
2011,24,1,3,0.004696996026365086
2011,24,1,4,0.0048933619123933125
2011,24,1,5,0.002451163412514501
2011,25,2,1,0.010421072500341078
2011,25,2,2,0.008130039812359713
2011,25,2,3,0.007578261930854202
2011,25,2,4,0.006165309265791286
2011,25,2,5,0.0035479040111631166
2011,25,1,1,0.008268442748638472
2011,25,1,2,0.005410827164605725
2011,25,1,3,0.00482839186302797
2011,25,1,4,0.005170742340630641
2011,25,1,5,0.0027123566910807195
2011,26,2,1,0.010122177562479129
2011,26,2,2,0.007969848631483312
2011,26,2,3,0.007526404256145813
2011,26,2,4,0.006042776674560213
2011,26,2,5,0.003652277704301765
2011,26,1,1,0.008253204187534613
2011,26,1,2,0.005900028951959513
2011,26,1,3,0.005038168507574214
2011,26,1,4,0.005434880868464664
2011,26,1,5,0.0030129481876696174
2011,27,2,1,0.010112904708531434
2011,27,2,2,0.00796148413776887
2011,27,2,3,0.007661871188341052
2011,27,2,4,0.00593490619730197
2011,27,2,5,0.003831052871686058
2011,27,1,1,0.00831085564823486
2011,27,1,2,0.006272300873786385
2011,27,1,3,0.005328225132347653
2011,27,1,4,0.0055996869130721105
2011,27,1,5,0.0032726610305517934
2011,28,2,1,0.010268525162259512
2011,28,2,2,0.007835540682612496
2011,28,2,3,0.007827187600551011
2011,28,2,4,0.005945004453857927
2011,28,2,5,0.004016026761909375
2011,28,1,1,0.008517634655219708
2011,28,1,2,0.00660305276195694
2011,28,1,3,0.005648719451126771
2011,28,1,4,0.00572600717876659
2011,28,1,5,0.003585271307067761
2011,29,2,1,0.010043198175063717
2011,29,2,2,0.007549703079835823
2011,29,2,3,0.007861721239033614
2011,29,2,4,0.00587422223976708
2011,29,2,5,0.004121841204021814
2011,29,1,1,0.008446617523490518
2011,29,1,2,0.00660627032653871
2011,29,1,3,0.005773892163757677
2011,29,1,4,0.0057184941028169956
2011,29,1,5,0.003763548353846513
2011,30,2,1,0.009959548187039924
2011,30,2,2,0.007335964125804839
2011,30,2,3,0.00786990598863102
2011,30,2,4,0.005853341322482275
2011,30,2,5,0.004252198629605908
2011,30,1,1,0.008424870483417113
