age,sex,imd_quintile,year,time_since_quit,p_relapse_1month
12,2,1,2011,1,0.02176021450886456
12,2,1,2011,2,0.011274204894529016
12,2,1,2011,3,0.006970253648811431
12,2,1,2011,4,0.0042597800953202425
12,2,1,2011,5,0.003263803640129126
12,2,1,2011,6,0.001559377830450459
12,2,1,2011,7,0.001985149176782275
12,2,1,2011,8,0.000425016324401728
12,2,1,2011,9,0.001843201295169461
12,2,1,2011,10,0.0
12,2,1,2012,1,0.020906146692386107
12,2,1,2012,2,0.010803958089157906
12,2,1,2012,3,0.006672187913505323
12,2,1,2012,4,0.004074742575652102
12,2,1,2012,5,0.0031212109989074976
12,2,1,2012,6,0.001490575777959191
12,2,1,2012,7,0.001897776618503988
12,2,1,2012,8,0.00040614073406053386
12,2,1,2012,9,0.0017620097519733813
12,2,1,2012,10,0.0
12,2,1,2013,1,0.032608809083706336
12,2,1,2013,2,0.017995360279255967
12,2,1,2013,3,0.011477122006548046
12,2,1,2013,4,0.00716679134043563
12,2,1,2013,5,0.005537093950925387
12,2,1,2013,6,0.002685048609310847
12,2,1,2013,7,0.003405290746030354
12,2,1,2013,8,0.0007393973523953656
12,2,1,2013,9,0.003165761570152026
12,2,1,2013,10,0.0
12,2,1,2014,1,0.022287061010822784
12,2,1,2014,2,0.011563960753082081
12,2,1,2014,3,0.007153826838015465
12,2,1,2014,4,0.004373705972754216
12,2,1,2014,5,0.0033515864911796145
12,2,1,2014,6,0.0016017253224362982
12,2,1,2014,7,0.002038929447243043
12,2,1,2014,8,0.000436632654922664
12,2,1,2014,9,0.0018931761476368436
12,2,1,2014,10,0.0
12,2,1,2015,1,0.022287061010822784
12,2,1,2015,2,0.011563960753082081
12,2,1,2015,3,0.007153826838015465
12,2,1,2015,4,0.004373705972754216
12,2,1,2015,5,0.0033515864911796145
12,2,1,2015,6,0.0016017253224362982
12,2,1,2015,7,0.002038929447243043
12,2,1,2015,8,0.000436632654922664
12,2,1,2015,9,0.0018931761476368436
12,2,1,2015,10,0.0
12,2,1,2016,1,0.022287061010822784
12,2,1,2016,2,0.011563960753082081
12,2,1,2016,3,0.007153826838015465
12,2,1,2016,4,0.004373705972754216
12,2,1,2016,5,0.0033515864911796145
12,2,1,2016,6,0.0016017253224362982
12,2,1,2016,7,0.002038929447243043
12,2,1,2016,8,0.000436632654922664
12,2,1,2016,9,0.0018931761476368436
12,2,1,2016,10,0.0
12,2,1,2017,1,0.022287061010822784
12,2,1,2017,2,0.011563960753082081
12,2,1,2017,3,0.007153826838015465
12,2,1,2017,4,0.004373705972754216
12,2,1,2017,5,0.0033515864911796145
12,2,1,2017,6,0.0016017253224362982
12,2,1,2017,7,0.002038929447243043
12,2,1,2017,8,0.000436632654922664
12,2,1,2017,9,0.0018931761476368436
12,2,1,2017,10,0.0
12,2,1,2018,1,0.022924878166090012
12,2,1,2018,2,0.01187436234502981
12,2,1,2018,3,0.007340983670492296
12,2,1,2018,4,0.004486315195646129
12,2,1,2018,5,0.0034373769105016105
12,2,1,2018,6,0.0016423187076282098
12,2,1,2018,7,0.002090731461172668
12,2,1,2018,8,0.0004476257665136929
12,2,1,2018,9,0.0019412353073324784
12,2,1,2018,10,0.0
12,2,1,2019,1,0.023479217415333098
12,2,1,2019,2,0.012143199350482692
12,2,1,2019,3,0.007502870107186199
12,2,1,2019,4,0.004583644261754505
12,2,1,2019,5,0.0035115057096195557
12,2,1,2019,6,0.0016773778380875237
12,2,1,2019,7,0.002135476265147096
12,2,1,2019,8,0.000457117257860018
12,2,1,2019,9,0.001982745562680077
12,2,1,2019,10,0.0
12,2,2,2011,1,0.020764900245478946
12,2,2,2011,2,0.010724537786154453
12,2,2,2011,3,0.006621386550448194
12,2,2,2011,4,0.004043019163231687
12,2,2,2011,5,0.0030967108205131044
12,2,2,2011,6,0.0014787093942432161
12,2,2,2011,7,0.001882721668956422
12,2,2,2011,8,0.0004028769366366536
12,2,2,2011,9,0.0017480154089393185
12,2,2,2011,10,0.0
12,2,2,2012,1,0.021001476961964527
12,2,2,2012,2,0.010857244366275443
12,2,2,2012,3,0.006706189412973851
12,2,2,2012,4,0.004095942523182905
12,2,2,2012,5,0.003137574606793092
12,2,2,2012,6,0.0014984936671367244
12,2,2,2012,7,0.0019078245084013234
12,2,2,2012,8,0.0004083171206350489
