"pAge","pGender","pIMDquintile","state","pCohort","pEducationalLevel","pSEP","pRegion","pSocialHousing","pMentalHealthCondition","pAlcoholConsumption","pNRTUse","pYearsSinceQuit","pExpenditure","pECigUse","pVareniclineUse","pCigConsumptionPrequit","cAge","oAge","mAge","mGender","oEducationalLevel","oSEP","oGeographicLocality","oSocialHousing","cMentalHealthConditions","cAlcoholConsumption","oAlcoholConsumption","cPrescriptionNRT","mUseOfNRT","cEcigaretteUse","cCigConsumptionPrequit","mSpendingOnCig","cVareniclineUse","cCigAddictStrength","mEnjoymentOfSmoking","cUseOfBehaviourSupport","mIntentionToQuit","mDesireToStopSmoking","mNumberOfRecentQuitAttempts","mSmokerIdentity"
41,1,1,"ex-smoker",15,1,1,4,2,NA,7,NA,10,8,2,1,23,41,41,41,1,1,1,4,2,NA,7,7,NA,NA,2,23,8,1,1,NA,"0",1,2,12,1
37,2,1,"ex-smoker",15,1,1,4,2,NA,7,NA,10,57,2,1,35,37,37,37,2,1,1,4,2,NA,7,7,NA,NA,2,35,57,1,1,NA,"0",2,2,52,2
51,1,1,"ex-smoker",13,2,1,4,2,NA,11,NA,16,49,2,1,9,51,51,51,1,2,1,4,2,NA,11,11,NA,NA,2,9,49,1,6,NA,"1",1,1,12,-1
48,2,1,"ongoingquitter7",13,3,2,4,2,0,5,NA,24,10,2,1,4.28571428571429,48,48,48,2,3,2,4,2,0,5,5,NA,NA,2,4,10,1,4,NA,"0",2,1,4,-1
66,2,3,"ex-smoker",9,7,3,4,1,NA,5,NA,4,12,2,1,5.71428571428571,66,66,66,2,7,3,4,1,NA,5,5,NA,NA,1,5,12,1,3,NA,"1",1,2,9,-1
74,1,3,"ongoingquitter3",7,7,3,4,1,NA,10,NA,40,57,1,2,24,74,74,74,1,7,3,4,1,NA,10,10,NA,NA,1,24,57,2,6,NA,"1",1,2,12,-1
66,2,2,"ex-smoker",9,2,1,4,1,NA,8,NA,40,100,1,2,10.7142857142857,66,66,66,2,2,1,4,1,NA,8,8,NA,NA,2,10,100,2,3,NA,"0",2,1,9,2
74,1,2,"newquitter",7,3,2,4,1,NA,6,NA,53,7,2,2,22,74,74,74,1,3,2,4,1,NA,6,6,NA,NA,1,22,7,2,1,NA,"0",2,2,2,2
36,1,1,"ex-smoker",15,1,1,4,2,NA,5,NA,7,24,1,1,1.14285714285714,36,36,36,1,1,1,4,2,NA,5,5,NA,NA,2,1,24,1,3,NA,"0",1,1,2,2
35,2,1,"ex-smoker",15,1,1,4,2,NA,4,NA,8,57,2,2,8,35,35,35,2,1,1,4,2,NA,4,4,NA,NA,1,8,57,2,6,NA,"1",2,2,6,-1
79,1,4,"ongoingquitter7",7,3,1,5,1,NA,8,NA,18,2,1,2,14,79,79,79,1,3,1,5,1,NA,8,8,NA,NA,1,14,2,2,1,NA,"1",1,2,9,1
81,2,4,"newquitter",7,7,3,5,4,0,5,NA,3,17,1,1,9,81,81,81,2,7,3,5,4,0,5,5,NA,NA,2,9,17,1,3,NA,"1",1,2,3,-1
63,1,5,"ex-smoker",9,1,1,5,1,NA,7,NA,36,33,2,1,2.28571428571429,63,63,63,1,1,1,5,1,NA,7,7,NA,NA,1,2,33,1,5,NA,"0",2,2,12,2
69,2,5,"ex-smoker",9,1,1,5,1,NA,6,NA,36,12,2,2,45,69,69,69,2,1,1,5,1,NA,6,6,NA,NA,2,45,12,2,1,NA,"0",2,2,1,1
81,2,5,"ex-smoker",7,7,3,3,1,NA,4,NA,20,34,1,2,0.2,81,81,81,2,7,3,3,1,NA,4,4,NA,NA,1,0,34,2,3,NA,"1",2,2,3,-1
50,1,3,"ongoingquitter8",13,7,2,3,1,NA,2,NA,11,3,2,1,19,50,50,50,1,7,2,3,1,NA,2,2,NA,NA,1,19,3,1,4,NA,"1",2,1,1,1
54,2,3,"ex-smoker",11,7,1,3,2,NA,2,NA,17,42,1,1,13.3333333333333,54,54,54,2,7,1,3,2,NA,2,2,NA,NA,2,13,42,1,1,NA,"1",1,1,52,2
37,1,2,"ex-smoker",15,1,1,3,2,NA,5,NA,15,62,1,2,100,37,37,37,1,1,1,3,2,NA,5,5,NA,NA,1,100,62,2,4,NA,"1",2,2,52,1
87,1,2,"ex-smoker",5,7,3,3,1,NA,1,NA,63,60,1,1,14,87,87,87,1,7,3,3,1,NA,1,1,NA,NA,1,14,60,1,6,NA,"1",1,2,0,-1
82,2,5,"ongoingquitter4",6,7,2,3,1,NA,4,NA,25,28,2,2,55,82,82,82,2,7,2,3,1,NA,4,4,NA,NA,2,55,28,2,3,NA,"1",1,1,5,1
37,1,5,"ex-smoker",15,5,3,3,4,0,11,NA,7,42,2,2,0.714285714285714,37,37,37,1,5,3,3,4,0,11,11,NA,NA,1,0,42,2,2,NA,"0",1,1,4,1
48,2,5,"ex-smoker",13,7,3,3,4,0,9,NA,8,140,2,1,2.42857142857143,48,48,48,2,7,3,3,4,0,9,9,NA,NA,2,2,140,1,4,NA,"0",1,2,8,1
24,1,2,"ongoingquitter3",17,1,1,3,4,NA,5,NA,8,10,1,2,18,24,24,24,1,1,1,3,4,NA,5,5,NA,NA,2,18,10,2,3,NA,"0",2,2,2,1
41,2,3,"ongoingquitter10",15,1,2,3,2,NA,9,NA,5,37,2,2,17.1428571428571,41,41,41,2,1,2,3,2,NA,9,9,NA,NA,1,17,37,2,6,NA,"1",1,1,3,-1
30,1,1,"ongoingquitter8",17,3,1,1,2,NA,5,NA,5,48,1,1,60,30,30,30,1,3,1,1,2,NA,5,5,NA,NA,2,60,48,1,1,NA,"0",2,1,12,1
36,1,1,"ex-smoker",15,2,2,1,2,0,5,NA,10,20,1,1,17.8571428571429,36,36,36,1,2,2,1,2,0,5,5,NA,NA,2,17,20,1,4,NA,"1",1,2,5,-1
39,2,2,"ex-smoker",15,7,1,1,4,NA,4,NA,4,32,2,2,28.5714285714286,39,39,39,2,7,1,1,4,NA,4,4,NA,NA,1,28,32,2,4,NA,"1",2,1,4,2
47,2,2,"ongoingquitter9",13,4,2,1,1,NA,5,NA,16,49,1,1,3.42857142857143,47,47,47,2,4,2,1,1,NA,5,5,NA,NA,2,3,49,1,1,NA,"0",2,2,1,1
81,1,4,"ex-smoker",7,7,3,4,4,0,2,NA,50,84,1,1,13.3333333333333,81,81,81,1,7,3,4,4,0,2,2,NA,NA,2,13,84,1,2,NA,"1",2,2,12,1
27,2,4,"ongoingquitter10",17,4,3,4,4,NA,NA,NA,7,37,1,1,17.1428571428571,27,27,27,2,4,3,4,4,NA,NA,NA,NA,NA,2,17,37,1,6,NA,"1",1,1,12,-1
53,2,5,"newquitter",11,4,3,4,4,0,7,NA,27,76,1,1,21.4285714285714,53,53,53,2,4,3,4,4,0,7,7,NA,NA,1,21,76,1,6,NA,"1",1,1,5,1
77,1,2,"ex-smoker",7,7,2,6,4,NA,7,NA,25,21,1,1,50,77,77,77,1,7,2,6,4,NA,7,7,NA,NA,1,50,21,1,2,NA,"0",2,1,6,1
84,1,2,"ongoingquitter11",5,7,2,6,4,NA,10,NA,30,36,2,2,2.14285714285714,84,84,84,1,7,2,6,4,NA,10,10,NA,NA,1,2,36,2,4,NA,"1",2,1,10,2
85,2,2,"ongoingquitter11",5,7,1,6,4,0,7,NA,30,16,2,2,10.7142857142857,85,85,85,2,7,1,6,4,0,7,7,NA,NA,2,10,16,2,5,NA,"0",2,2,1,-1
