debug mode
behaviour model: COMB
tick: 0, year: 2011
tick: 1, year: 2011
tick: 2, year: 2011
tick: 3, year: 2011
tick: 4, year: 2011
tick: 5, year: 2011
tick: 6, year: 2011
tick: 7, year: 2011
tick: 8, year: 2011
tick: 9, year: 2011
tick: 10, year: 2011
tick: 11, year: 2011
tick: 12, year: 2011
tick: 13, year: 2012
tick: 14, year: 2012
tick: 15, year: 2012
tick: 16, year: 2012
tick: 17, year: 2012
tick: 18, year: 2012
tick: 19, year: 2012
tick: 20, year: 2012
tick: 21, year: 2012
tick: 22, year: 2012
tick: 23, year: 2012
tick: 24, year: 2012
tick: 25, year: 2013
tick: 26, year: 2013
tick: 27, year: 2013
tick: 28, year: 2013
tick: 29, year: 2013
tick: 30, year: 2013
tick: 31, year: 2013
tick: 32, year: 2013
tick: 33, year: 2013
tick: 34, year: 2013
tick: 35, year: 2013
tick: 36, year: 2013
tick: 37, year: 2014
tick: 38, year: 2014
tick: 39, year: 2014
tick: 40, year: 2014
tick: 41, year: 2014
tick: 42, year: 2014
tick: 43, year: 2014
tick: 44, year: 2014
tick: 45, year: 2014
tick: 46, year: 2014
tick: 47, year: 2014
tick: 48, year: 2014
tick: 49, year: 2015
tick: 50, year: 2015
tick: 51, year: 2015
tick: 52, year: 2015
tick: 53, year: 2015
tick: 54, year: 2015
tick: 55, year: 2015
tick: 56, year: 2015
tick: 57, year: 2015
tick: 58, year: 2015
tick: 59, year: 2015
tick: 60, year: 2015
tick: 61, year: 2016
tick: 62, year: 2016
tick: 63, year: 2016
tick: 64, year: 2016
tick: 65, year: 2016
tick: 66, year: 2016
tick: 67, year: 2016
tick: 68, year: 2016
tick: 69, year: 2016
tick: 70, year: 2016
tick: 71, year: 2016
tick: 72, year: 2016
tick: 73, year: 2017
tick: 74, year: 2017
tick: 75, year: 2017
tick: 76, year: 2017
tick: 77, year: 2017
tick: 78, year: 2017
tick: 79, year: 2017
tick: 80, year: 2017
tick: 81, year: 2017
tick: 82, year: 2017
tick: 83, year: 2017
tick: 84, year: 2017
tick: 85, year: 2018
tick: 86, year: 2018
tick: 87, year: 2018
tick: 88, year: 2018
tick: 89, year: 2018
tick: 90, year: 2018
tick: 91, year: 2018
tick: 92, year: 2018
tick: 93, year: 2018
tick: 94, year: 2018
tick: 95, year: 2018
tick: 96, year: 2018
tick: 97, year: 2019
