Tick,Year,Year_num,Total_agent_population_W,N_never_smokers_W,g.N_smokers_W,N_new_quitters_W,N_ongoing_quitters_W,N_ex_smokers_W,Total_agent_population_F,N_never_smokers_F,N_smokers_F,N_new_quitters_F,N_ongoing_quitters_F,N_ex_smokers_F,Total_agent_population_M,N_never_smokers_M,N_smokers_M,N_new_quitters_M,N_ongoing_quitters_M,N_ex_smokers_M
0,2011,0,8149,4054,1552,235,787,1521,4522,2428,803,113,408,770,3627,1626,749,122,379,751
1,2011,0,8149,8108,3104,470,1574,3042,9044,4856,1606,226,816,1540,7254,3252,1498,244,758,1502
2,2011,0,8149,4054,909,1050,608,1528,4522,2428,491,534,298,771,3627,1626,418,516,310,757
3,2011,0,8149,4054,1151,520,890,1534,4522,2428,577,293,449,775,3627,1626,574,227,441,759
4,2011,0,8149,4053,1099,641,823,1533,4522,2428,576,318,425,775,3627,1625,523,323,398,758
5,2011,0,8149,4052,1119,624,821,1533,4522,2427,586,321,413,775,3627,1625,533,303,408,758
6,2011,0,8149,4048,1154,643,769,1535,4522,2425,578,351,391,777,3627,1623,576,292,378,758
7,2011,0,8149,4047,1140,668,760,1534,4522,2425,583,356,382,776,3627,1622,557,312,378,758
8,2011,0,8149,4046,1147,661,761,1534,4522,2424,590,343,389,776,3627,1622,557,318,372,758
9,2011,0,8149,4046,1180,639,752,1532,4522,2424,608,344,370,776,3627,1622,572,295,382,756
10,2011,0,8149,4044,1178,666,729,1532,4522,2423,597,344,382,776,3627,1621,581,322,347,756
11,2011,0,8149,4044,1149,686,740,1530,4522,2423,581,363,380,775,3627,1621,568,323,360,755
12,2011,0,8149,4044,1125,678,775,1527,4522,2423,596,334,397,772,3627,1621,529,344,378,755
13,2012,1,8149,4043,1200,615,764,1527,4522,2423,598,329,401,771,3627,1620,602,286,363,756
14,2012,1,8149,4042,1141,722,718,1526,4522,2423,598,372,358,771,3627,1619,543,350,360,755
15,2012,1,8149,4040,1156,662,765,1526,4522,2422,580,359,390,771,3627,1618,576,303,375,755
16,2012,1,8149,4040,1207,662,717,1523,4522,2422,614,355,362,769,3627,1618,593,307,355,754
17,2012,1,8149,4040,1203,651,733,1522,4522,2422,626,327,378,769,3627,1618,577,324,355,753
18,2012,1,8149,4040,1250,683,655,1521,4522,2422,645,360,325,770,3627,1618,605,323,330,751
19,2012,1,8149,4039,1227,684,678,1521,4522,2422,631,361,338,770,3627,1617,596,323,340,751
20,2012,1,8149,4038,1232,696,665,1518,4522,2422,623,373,336,768,3627,1616,609,323,329,750
21,2012,1,8149,4038,1206,689,699,1517,4522,2422,616,346,370,768,3627,1616,590,343,329,749
